R,G,B,Type
77,87,153,1
107,33,105,0
251,31,164,1
91,34,62,0
66,124,107,0
221,82,193,1
133,189,65,1
242,202,57,1
190,95,73,1
90,16,159,1
80,170,168,1
163,126,239,1
110,16,159,1
8,190,112,1
239,49,253,1
186,211,153,1
228,179,176,1
132,184,45,1
62,51,54,0
215,226,195,1
129,29,185,1
9,37,155,1
43,232,221,1
57,145,246,1
217,108,53,1
12,152,138,1
37,214,101,1
219,214,3,1
88,251,17,1
229,153,105,1
104,171,254,1
55,102,37,0
215,71,111,1
2,67,58,0
74,162,149,1
243,38,238,1
56,12,52,0
246,17,4,1
3,22,77,0
155,58,252,1
37,201,219,1
153,78,189,1
131,122,242,1
194,68,233,1
43,177,182,1
212,3,138,1
235,204,68,1
107,18,215,1
75,147,107,1
208,66,106,1
168,167,233,1
176,120,204,1
143,87,8,1
121,105,228,1
251,91,30,1
64,12,127,0
206,97,142,1
175,161,244,1
240,23,115,1
9,143,4,1
77,96,86,0
50,125,42,0
158,72,182,1
186,86,82,1
101,98,230,1
148,214,242,1
55,63,123,0
223,184,89,1
136,87,177,1
89,4,169,1
100,11,255,1
147,98,75,1
40,119,151,1
78,18,78,0
153,70,119,1
149,202,59,1
224,34,224,1
244,27,92,1
126,57,241,1
48,133,13,1
113,211,107,1
198,82,11,1
153,182,73,1
85,50,109,0
209,251,77,1
109,170,88,1
113,67,162,1
190,240,95,1
39,130,248,1
68,23,82,0
240,29,174,1
66,161,116,1
200,216,37,1
161,209,218,1
137,66,172,1
88,210,196,1
217,56,218,1
146,36,108,1
174,116,14,1
154,8,25,1
233,170,176,1
232,176,156,1
29,29,70,0
186,232,176,1
167,150,59,1
125,242,122,1
176,206,74,1
244,243,156,1
99,180,88,1
176,189,102,1
191,186,205,1
214,184,107,1
78,94,149,1
198,183,180,1
152,173,153,1
241,62,53,1
240,80,130,1
150,3,9,1
84,22,93,0
98,241,30,1
197,116,149,1
47,195,220,1
98,237,24,1
77,216,145,1
56,95,194,1
136,164,194,1
148,120,201,1
6,40,189,1
1,206,64,1
28,157,175,1
108,110,155,1
219,9,140,1
29,41,185,1
113,69,164,1
24,54,27,0
180,171,70,1
31,147,144,1
97,0,243,1
124,126,205,1
129,207,103,1
59,201,202,1
116,242,110,1
44,90,18,0
238,46,13,1
86,184,5,1
194,29,237,1
31,166,87,1
174,88,232,1
170,24,199,1
178,215,44,1
91,59,156,1
238,197,18,1
113,120,246,1
241,220,49,1
90,176,228,1
51,186,106,1
27,96,100,0
116,232,186,1
180,73,41,1
192,103,241,1
118,16,92,0
56,138,110,1
242,13,14,1
255,185,140,1
227,70,75,1
39,103,195,1
179,188,185,1
239,239,114,1
21,250,181,1
140,202,27,1
188,37,67,1
164,66,81,1
255,10,117,1
14,224,157,1
2,195,137,1
83,63,1,0
158,150,106,1
168,68,13,1
238,48,2,1
199,241,34,1
252,59,178,1
42,241,204,1
162,48,216,1
29,156,59,1
103,76,106,0
187,252,220,1
127,253,252,1
31,231,203,1
189,248,78,1
46,87,155,1
52,220,56,1
205,56,79,1
226,247,160,1
197,227,19,1
129,9,118,1
21,214,97,1
214,146,30,1
95,255,251,1
208,226,191,1
185,88,114,1
216,34,116,1
57,6,191,1
174,196,231,1
227,60,167,1
65,18,62,0
55,164,179,1
26,249,213,1
1,18,4,0
51,128,96,1
186,167,178,1
181,172,234,1
66,79,207,1
54,179,67,1
39,16,151,1
133,128,20,1
113,228,19,1
171,128,118,1
124,159,49,1
68,212,88,1
241,165,158,1
100,127,21,0
214,57,3,1
188,23,14,1
132,139,223,1
89,238,218,1
185,90,157,1
206,226,174,1
196,146,91,1
76,237,218,1
95,240,2,1
219,36,181,1
222,149,154,1
249,74,158,1
185,236,17,1
126,66,40,0
169,40,50,1
224,70,221,1
168,227,3,1
28,26,93,0
92,128,216,1
55,8,61,0
112,170,43,1
168,45,34,1
139,52,8,1
214,169,89,1
56,185,170,1
224,29,227,1
147,130,206,1
230,241,75,1
20,77,198,1
220,130,34,1
49,170,72,1
188,138,5,1
14,118,143,1
40,223,46,1
11,131,242,1
245,82,52,1
174,104,43,1
202,85,65,1
156,69,194,1
53,102,193,1
151,55,162,1
115,124,255,1
92,159,124,1
152,38,198,1
14,5,34,0
217,95,92,1
44,236,123,1
123,239,235,1
92,45,141,1
142,199,181,1
142,80,60,1
225,164,179,1
66,21,150,1
28,84,123,0
41,67,23,0
178,48,153,1
151,164,122,1
0,141,77,1
139,247,144,1
59,139,111,1
161,245,73,1
223,130,111,1
148,199,115,1
104,108,138,1
86,193,38,1
78,87,137,1
98,167,129,1
238,188,41,1
176,127,81,1
88,25,154,1
227,40,115,1
241,114,156,1
19,175,112,1
5,169,69,1
48,185,182,1
172,148,58,1
24,81,127,0
74,232,152,1
115,72,134,1
68,77,82,0
134,235,157,1
92,190,179,1
144,106,182,1
128,73,11,1
96,119,114,0
248,101,236,1
155,14,165,1
98,86,205,1
51,163,154,1
210,129,136,1
58,64,247,1
143,204,226,1
101,80,159,1
169,46,237,1
71,216,234,1
45,120,92,0
193,48,244,1
135,212,179,1
245,21,185,1
145,5,174,1
86,17,32,0
27,253,90,1
34,116,178,1
85,43,41,0
178,74,114,1
11,78,71,0
36,203,17,1
24,13,105,0
72,31,111,0
157,146,30,1
213,145,175,1
46,254,215,1
185,181,218,1
44,225,59,1
89,74,132,1
188,203,71,1
4,226,14,1
137,24,245,1
3,123,85,0
248,109,0,1
103,187,31,1
163,234,185,1
61,158,31,1
154,88,187,1
158,160,104,1
243,91,61,1
162,135,9,1
15,235,206,1
22,96,233,1
107,87,160,1
254,154,163,1
132,32,135,1
65,96,52,0
182,106,214,1
28,192,198,1
87,104,70,0
195,97,174,1
57,22,0,0
19,10,214,1
154,34,38,1
232,151,248,1
244,227,61,1
236,131,252,1
248,30,24,1
133,138,191,1
20,109,80,0
250,195,70,1
207,196,224,1
117,237,76,1
233,240,217,1
249,210,102,1
200,246,10,1
70,9,106,0
26,131,151,1
151,175,42,1
131,165,219,1
226,36,196,1
196,146,167,1
189,124,135,1
12,240,41,1
20,98,74,0
250,77,41,1
212,88,183,1
26,67,74,0
248,118,144,1
66,173,154,1
221,25,237,1
234,197,251,1
71,61,40,0
189,113,50,1
26,8,43,0
77,58,253,1
200,91,133,1
14,20,247,1
77,136,250,1
6,36,53,0
192,216,254,1
196,4,36,1
224,177,161,1
57,62,223,1
211,175,140,1
16,41,105,0
125,193,25,1
95,57,90,0
105,135,131,1
159,251,88,1
102,213,45,1
84,154,59,1
29,72,51,0
183,161,210,1
96,105,120,0
1,86,136,1
213,247,180,1
249,84,200,1
86,50,120,0
187,193,143,1
148,45,203,1
138,145,138,1
199,231,248,1
125,203,112,1
105,103,48,0
137,209,3,1
166,92,148,1
221,231,229,1
32,114,157,1
225,141,255,1
99,95,31,0
6,51,187,1
76,144,116,1
20,184,116,1
134,99,83,1
206,144,140,1
187,203,117,1
221,71,75,1
34,51,63,0
119,21,185,1
114,181,186,1
30,130,57,1
139,188,90,1
240,65,191,1
107,220,95,1
88,34,86,0
208,232,105,1
226,243,33,1
29,150,123,1
0,131,233,1
209,222,227,1
90,12,37,0
3,233,213,1
238,148,76,1
86,217,195,1
102,134,251,1
0,254,155,1
155,211,26,1
8,134,159,1
85,138,95,1
183,236,76,1
25,247,145,1
99,241,156,1
117,194,8,1
184,98,234,1
222,77,144,1
235,141,157,1
74,215,163,1
85,88,213,1
110,224,232,1
119,151,45,1
150,14,214,1
33,159,67,1
24,54,63,0
28,220,185,1
206,197,3,1
162,85,228,1
112,156,215,1
178,151,150,1
124,168,155,1
249,49,58,1
30,175,25,1
23,199,199,1
224,114,44,1
93,204,59,1
41,179,92,1
181,244,14,1
86,173,206,1
2,61,9,0
25,83,204,1
41,155,42,1
235,58,54,1
207,48,184,1
28,90,168,1
129,208,228,1
235,32,68,1
40,249,178,1
215,74,25,1
169,111,134,1
203,23,44,1
206,36,214,1
154,96,24,1
34,148,103,1
194,209,90,1
17,61,247,1
166,46,106,1
146,105,70,1
15,112,24,0
5,94,251,1
155,202,124,1
66,235,39,1
7,250,167,1
8,65,71,0
140,192,95,1
193,98,99,1
100,34,127,0
21,163,237,1
141,149,236,1
154,125,209,1
154,246,8,1
1,110,248,1
170,53,170,1
37,104,194,1
120,12,166,1
139,122,32,1
7,91,29,0
72,91,1,0
89,163,233,1
64,210,85,1
170,124,1,1
186,199,249,1
157,178,212,1
226,243,158,1
28,159,201,1
17,86,39,0
159,207,217,1
12,135,83,1
187,57,178,1
184,67,30,1
27,184,200,1
197,141,157,1
64,76,169,1
103,199,78,1
206,149,143,1
227,232,89,1
116,31,180,1
182,37,58,1
228,73,214,1
207,102,85,1
105,198,68,1
177,79,109,1
98,159,69,1
161,50,37,1
222,81,184,1
158,8,181,1
68,109,218,1
132,136,27,1
90,30,76,0
125,138,105,1
121,227,105,1
60,4,60,0
26,64,104,0
244,159,4,1
31,92,46,0
50,41,138,1
142,213,209,1
26,205,4,1
188,244,253,1
55,245,79,1
149,48,157,1
164,194,237,1
207,105,3,1
186,235,43,1
67,194,128,1
242,63,161,1
37,191,18,1
87,168,14,1
13,29,114,0
229,221,74,1
167,102,65,1
162,89,137,1
238,70,168,1
205,77,244,1
235,81,183,1
124,104,45,0
182,222,180,1
226,137,124,1
76,139,34,1
115,163,79,1
14,38,35,0
83,250,6,1
253,71,119,1
74,137,8,1
150,94,147,1
30,211,6,1
124,27,239,1
213,241,205,1
104,92,172,1
187,235,235,1
102,178,215,1
73,115,208,1
153,68,40,1
107,97,154,1
219,120,216,1
78,106,19,0
221,3,92,1
225,217,23,1
239,164,184,1
211,36,41,1
170,72,102,1
91,51,243,1
160,116,114,1
230,20,149,1
132,68,104,1
57,136,128,1
7,62,208,1
234,165,61,1
148,18,195,1
3,41,239,1
251,161,226,1
77,71,152,1
134,90,248,1
148,127,139,1
115,167,30,1
118,227,212,1
31,87,155,1
185,243,187,1
214,188,133,1
82,115,192,1
226,136,39,1
167,168,159,1
241,16,37,1
236,255,92,1
73,235,60,1
90,128,104,1
55,225,109,1
248,36,156,1
99,79,51,0
78,9,34,0
108,235,248,1
169,54,225,1
21,220,104,1
208,0,92,1
72,83,175,1
170,108,29,1
96,201,144,1
17,11,142,1
11,54,112,0
220,69,201,1
8,88,7,0
198,99,3,1
116,15,223,1
137,84,61,1
188,13,4,1
125,16,13,0
68,146,74,1
250,72,63,1
199,36,239,1
88,247,127,1
81,165,125,1
41,183,194,1
138,124,228,1
104,159,60,1
242,194,226,1
81,85,20,0
103,253,30,1
76,133,243,1
148,75,233,1
242,102,236,1
208,187,207,1
53,224,63,1
171,107,202,1
29,96,228,1
36,146,231,1
74,140,141,1
109,118,212,1
204,175,6,1
94,109,124,0
129,220,0,1
252,182,57,1
253,60,147,1
116,237,67,1
157,238,246,1
37,70,186,1
80,209,201,1
120,198,254,1
126,120,71,0
47,44,125,0
203,117,82,1
37,111,220,1
226,68,152,1
41,36,89,0
245,6,68,1
143,70,132,1
112,132,8,1
224,94,81,1
176,20,122,1
244,121,130,1
98,99,79,0
212,112,60,1
32,231,220,1
13,95,67,0
111,234,187,1
65,96,181,1
189,102,144,1
206,133,146,1
65,104,146,1
120,145,60,1
37,11,53,0
149,140,223,1
122,213,239,1
78,45,39,0
213,131,25,1
180,253,217,1
146,193,177,1
227,249,245,1
155,92,51,1
7,100,248,1
149,95,250,1
188,88,242,1
243,105,170,1
28,134,244,1
114,116,183,1
205,63,1,1
235,148,25,1
168,175,67,1
221,190,125,1
47,86,39,0
150,91,28,1
88,253,82,1
154,251,149,1
84,133,39,1
202,115,251,1
31,15,113,0
101,30,111,0
58,49,213,1
149,34,115,1
249,131,217,1
90,100,147,1
193,151,52,1
199,129,224,1
84,108,165,1
94,42,203,1
181,122,33,1
47,187,121,1
182,197,0,1
32,100,111,0
169,31,154,1
7,59,149,1
179,81,69,1
0,97,180,1
119,175,206,1
142,253,50,1
116,187,245,1
24,188,73,1
202,220,76,1
13,121,59,0
12,27,185,1
82,72,112,0
152,131,73,1
204,158,36,1
166,127,193,1
173,100,48,1
58,195,183,1
237,25,140,1
110,7,244,1
249,215,240,1
227,0,179,1
144,25,135,1
203,202,11,1
28,212,77,1
121,45,166,1
171,235,206,1
133,156,249,1
75,227,190,1
155,47,27,1
140,172,134,1
248,122,127,1
68,20,222,1
189,140,197,1
155,221,158,1
33,216,75,1
119,147,1,1
105,93,68,0
236,83,178,1
43,21,190,1
179,115,20,1
249,19,89,1
149,30,204,1
113,122,59,0
2,121,255,1
152,241,244,1
142,99,197,1
216,177,30,1
125,112,242,1
51,224,199,1
63,39,109,0
99,29,66,0
129,142,155,1
214,236,74,1
124,131,55,1
26,150,22,1
119,12,194,1
160,50,32,1
74,105,252,1
171,95,119,1
135,20,135,1
249,249,146,1
75,17,200,1
112,253,253,1
166,231,141,1
103,127,40,0
120,190,249,1
209,24,130,1
136,219,107,1
71,194,44,1
118,38,114,0
2,41,129,1
59,7,135,1
68,183,219,1
16,242,14,1
138,128,104,1
141,203,140,1
189,227,176,1
217,94,58,1
206,80,51,1
157,74,154,1
119,178,208,1
136,212,87,1
25,5,26,0
6,195,250,1
106,20,36,0
64,205,230,1
115,225,118,1
7,164,34,1
2,161,84,1
188,188,241,1
185,135,74,1
171,121,159,1
82,209,96,1
89,249,199,1
39,50,144,1
170,198,166,1
194,90,247,1
23,203,117,1
190,228,247,1
203,223,202,1
10,49,58,0
155,123,48,1
234,175,171,1
144,210,105,1
60,76,108,0
253,78,143,1
136,62,144,1
156,238,244,1
220,254,167,1
199,72,100,1
92,202,255,1
12,125,78,0
27,168,10,1
61,238,23,1
126,234,163,1
1,49,2,0
145,170,124,1
156,162,224,1
86,31,53,0
110,255,109,1
244,28,124,1
49,111,120,0
52,143,102,1
245,199,224,1
34,239,85,1
81,170,164,1
213,155,1,1
197,143,237,1
129,41,231,1
60,58,216,1
201,55,168,1
229,56,173,1
185,102,144,1
171,197,189,1
202,19,107,1
191,86,186,1
176,60,61,1
246,13,134,1
130,104,5,1
119,215,150,1
214,235,178,1
51,206,204,1
99,240,32,1
132,8,170,1
143,231,199,1
128,118,245,1
244,66,15,1
15,203,200,1
246,84,231,1
58,10,72,0
228,230,79,1
35,112,99,0
56,229,160,1
157,181,198,1
169,213,50,1
125,38,46,0
141,150,73,1
136,168,48,1
86,173,135,1
52,132,151,1
123,238,84,1
57,21,95,0
219,137,151,1
55,193,69,1
97,189,231,1
200,250,198,1
3,170,26,1
74,100,41,0
163,226,232,1
22,136,197,1
35,208,81,1
19,64,74,0
171,203,208,1
219,170,86,1
102,102,226,1
223,205,229,1
69,123,40,0
50,126,87,0
42,109,197,1
184,240,120,1
131,216,43,1
8,181,68,1
37,186,12,1
237,94,119,1
18,225,167,1
6,207,25,1
254,128,178,1
193,197,144,1
110,187,14,1
243,1,227,1
230,106,225,1
159,215,114,1
146,80,234,1
53,194,223,1
90,120,132,1
238,198,169,1
118,57,231,1
130,111,108,1
75,14,137,1
209,217,177,1
224,159,96,1
117,181,141,1
119,81,56,0
185,136,135,1
13,129,162,1
97,40,228,1
254,4,25,1
232,240,235,1
127,202,20,1
13,16,228,1
243,139,35,1
99,32,113,0
237,24,246,1
13,142,178,1
33,5,224,1
17,53,143,1
119,193,217,1
58,174,211,1
98,111,155,1
218,125,179,1
19,211,11,1
26,202,162,1
155,53,194,1
176,94,173,1
114,96,212,1
144,172,124,1
220,246,38,1
208,61,196,1
41,32,38,0
169,176,32,1
162,207,80,1
24,112,0,0
219,137,176,1
143,90,129,1
190,128,162,1
170,231,222,1
229,133,92,1
106,32,5,0
52,55,8,0
80,74,230,1
252,119,138,1
251,121,43,1
255,67,175,1
2,116,58,0
246,51,240,1
227,62,198,1
218,16,13,1
181,227,130,1
189,233,250,1
38,46,223,1
162,14,254,1
83,96,128,1
77,158,10,1
245,44,241,1
9,165,241,1
170,61,138,1
194,221,113,1
218,152,37,1
69,113,90,0
149,229,9,1
45,195,21,1
161,134,100,1
84,222,38,1
111,74,113,0
73,34,35,0
57,7,5,0
90,88,53,0
251,115,49,1
87,179,247,1
6,235,94,1
229,144,85,1
155,77,12,1
18,105,216,1
168,240,163,1
49,188,28,1
62,57,135,1
164,128,201,1
125,47,135,1
160,240,140,1
209,192,169,1
158,76,239,1
85,218,75,1
78,86,222,1
226,91,249,1
18,31,159,1
99,180,152,1
61,209,81,1
248,16,155,1
242,192,100,1
86,108,48,0
14,94,110,0
17,232,89,1
81,166,112,1
32,158,101,1
28,42,253,1
184,227,28,1
174,18,155,1
72,25,186,1
204,244,10,1
78,48,180,1
11,236,126,1
2,17,216,1
27,41,25,0
119,142,171,1
184,231,135,1
149,207,81,1
129,65,32,1
154,17,42,1
111,160,41,1
40,252,248,1
168,78,151,1
158,4,103,1
49,136,52,1
137,138,204,1
237,181,251,1
98,234,225,1
45,176,40,1
84,109,9,0
87,174,156,1
96,75,177,1
245,197,29,1
115,172,142,1
82,167,143,1
225,166,196,1
210,151,144,1
159,197,174,1
159,201,87,1
7,46,186,1
51,75,195,1
70,221,252,1
46,8,140,1
227,28,203,1
49,239,46,1
28,146,248,1
232,200,126,1
3,250,202,1
15,49,118,0
46,222,233,1
21,115,249,1
193,55,45,1
177,104,77,1
87,241,231,1
194,41,55,1
64,23,73,0
38,179,236,1
10,99,62,0
145,192,32,1
120,112,25,0
162,44,12,1
30,124,200,1
24,78,209,1
73,49,156,1
255,245,87,1
220,63,35,1
135,170,140,1
240,187,6,1
29,220,10,1
167,16,171,1
70,36,22,0
245,236,38,1
127,137,253,1
2,90,115,0
156,88,91,1
36,223,78,1
80,6,97,0
198,13,205,1
110,30,22,0
12,25,149,1
172,98,82,1
210,236,200,1
161,192,239,1
223,224,234,1
180,76,187,1
117,156,104,1
46,90,242,1
198,116,50,1
61,81,63,0
110,50,41,0
109,14,154,1
152,9,202,1
112,191,4,1
138,201,82,1
220,41,132,1
22,121,60,0
120,161,142,1
228,109,175,1
60,208,139,1
198,216,39,1
35,46,190,1
109,68,93,0
28,19,230,1
52,194,22,1
28,186,24,1
91,20,236,1
167,196,112,1
249,166,69,1
84,183,124,1
121,29,204,1
104,247,173,1
231,124,80,1
105,27,25,0
106,205,139,1
247,75,106,1
103,26,65,0
76,40,225,1
54,116,50,0
246,197,16,1
0,27,151,1
240,18,116,1
254,151,143,1
90,145,65,1
220,34,47,1
199,183,34,1
27,225,68,1
164,253,5,1
174,47,32,1
1,60,194,1
176,191,115,1
88,91,57,0
51,206,216,1
130,31,229,1
28,23,94,0
40,6,133,1
175,141,65,1
107,118,182,1
197,23,221,1
59,201,8,1
118,23,64,0
104,49,136,1
33,215,255,1
13,183,102,1
31,100,25,0
199,17,93,1
241,73,63,1
131,115,73,1
232,137,31,1
222,233,143,1
241,30,123,1
52,39,54,0
24,163,159,1
97,71,170,1
156,101,129,1
115,49,109,0
6,185,246,1
10,48,22,0
43,226,114,1
82,40,36,0
110,254,121,1
38,233,170,1
117,219,242,1
28,209,228,1
38,46,146,1
138,45,17,1
232,227,40,1
206,229,3,1
160,33,205,1
91,181,232,1
170,254,60,1
150,185,178,1
239,77,198,1
250,159,211,1
97,251,164,1
115,205,182,1
207,140,28,1
120,211,248,1
24,44,45,0
248,2,255,1
221,102,159,1
192,131,217,1
8,23,215,1
153,14,197,1
161,226,210,1
214,40,86,1
111,255,42,1
170,237,97,1
171,220,12,1
123,120,221,1
6,148,40,1
231,125,185,1
227,165,174,1
187,34,223,1
244,225,139,1
153,29,241,1
74,140,39,1
53,255,8,1
22,255,178,1
103,166,166,1
44,131,32,1
5,101,128,1
69,184,11,1
22,68,111,0
24,228,15,1
106,217,50,1
13,149,253,1
167,151,26,1
131,184,152,1
130,30,231,1
20,69,74,0
247,217,176,1
204,145,254,1
61,143,179,1
49,135,225,1
18,62,35,0
174,185,6,1
92,142,182,1
244,212,49,1
139,242,144,1
160,19,159,1
52,45,206,1
155,177,90,1
11,204,196,1
232,132,184,1
116,246,225,1
21,118,125,0
185,162,241,1
206,28,224,1
39,215,123,1
125,169,250,1
178,13,174,1
168,229,122,1
255,161,12,1
26,34,240,1
139,236,133,1
44,108,109,0
56,239,156,1
82,6,135,1
174,108,143,1
236,202,89,1
35,167,231,1
227,132,90,1
10,1,88,0
10,157,103,1
164,122,130,1
179,67,93,1
253,5,171,1
97,127,112,0
118,54,29,0
54,133,35,1
219,139,133,1
252,51,250,1
178,108,117,1
130,211,208,1
187,57,60,1
100,126,225,1
232,76,250,1
233,35,37,1
84,101,95,0
5,116,106,0
165,218,41,1
157,171,7,1
126,118,39,0
58,173,198,1
16,114,159,1
126,175,187,1
101,173,244,1
230,129,57,1
194,4,159,1
102,219,87,1
47,153,92,1
252,85,162,1
39,119,126,0
200,60,165,1
89,26,214,1
44,103,107,0
52,107,21,0
25,188,103,1
193,88,125,1
72,22,42,0
140,77,29,1
131,90,36,1
141,163,244,1
86,185,37,1
89,153,111,1
191,126,175,1
147,247,124,1
175,73,224,1
154,72,242,1
93,244,115,1
75,26,108,0
185,66,227,1
84,239,81,1
152,229,23,1
143,91,45,1
17,166,160,1
163,15,64,1
116,130,203,1
231,121,145,1
110,225,69,1
8,45,234,1
141,1,194,1
96,123,0,0
29,132,143,1
106,120,103,0
105,102,164,1
95,163,103,1
86,81,186,1
208,3,61,1
101,8,111,0
4,26,80,0
251,90,4,1
74,91,22,0
113,122,175,1
90,183,223,1
16,238,222,1
114,20,71,0
153,178,218,1
241,3,88,1
187,137,77,1
141,145,7,1
68,221,6,1
25,99,56,0
18,68,64,0
200,161,87,1
151,172,205,1
156,128,12,1
84,9,38,0
82,62,164,1
66,50,112,0
227,34,62,1
205,143,182,1
176,76,68,1
209,161,250,1
168,155,81,1
117,75,117,0
41,58,3,0
158,76,185,1
179,176,151,1
186,58,233,1
70,129,50,1
181,133,102,1
24,217,63,1
187,111,111,1
245,28,63,1
86,205,96,1
59,32,26,0
209,30,242,1
128,215,116,1
41,0,131,1
252,177,31,1
89,99,113,0
188,28,117,1
24,41,105,0
241,25,203,1
182,175,191,1
148,128,0,1
21,113,156,1
143,242,32,1
107,72,155,1
200,27,50,1
219,118,134,1
1,146,51,1
84,221,13,1
255,94,53,1
181,141,136,1
174,117,197,1
42,41,174,1
20,119,78,0
179,133,42,1
14,22,202,1
75,37,109,0
248,49,140,1
223,163,165,1
83,16,4,0
2,231,217,1
186,209,26,1
132,248,240,1
188,6,4,1
172,73,51,1
72,96,17,0
106,171,174,1
247,230,101,1
108,66,54,0
243,243,137,1
29,203,22,1
5,218,178,1
203,131,179,1
199,112,169,1
103,158,254,1
241,192,106,1
137,117,170,1
120,76,17,0
85,80,241,1
1,253,162,1
88,34,177,1
212,224,221,1
163,165,202,1
47,165,134,1
208,255,247,1
30,120,44,0
4,75,141,1
45,67,226,1
148,163,198,1
209,100,191,1
152,114,172,1
128,254,143,1
45,139,29,1
5,13,46,0
109,80,83,0
42,129,35,1
118,236,80,1
174,122,184,1
70,129,73,1
76,24,118,0
146,61,56,1
151,39,231,1
175,169,3,1
81,153,26,1
19,3,193,1
3,54,30,0
196,28,252,1
3,83,227,1
156,161,222,1
58,96,223,1
172,240,251,1
98,212,109,1
68,14,15,0
150,147,71,1
124,154,113,1
198,216,245,1
101,250,113,1
36,2,246,1
80,73,221,1
68,58,215,1
125,182,134,1
110,107,157,1
54,168,212,1
2,227,173,1
142,231,12,1
251,52,61,1
20,105,115,0
87,81,103,0
158,37,214,1
8,66,85,0
204,47,130,1
170,87,164,1
80,238,83,1
232,146,8,1
173,7,144,1
229,105,192,1
224,72,42,1
130,142,135,1
91,154,40,1
208,252,241,1
50,233,171,1
142,39,86,1
162,108,125,1
155,136,45,1
196,1,74,1
144,16,2,1
121,66,170,1
175,170,92,1
79,123,176,1
159,201,78,1
108,84,125,0
63,67,20,0
88,199,172,1
196,94,234,1
23,50,37,0
221,213,102,1
140,174,222,1
24,215,248,1
134,13,109,1
107,255,105,1
29,116,122,0
49,121,81,0
204,70,93,1
226,135,160,1
27,0,107,0
79,83,156,1
101,239,255,1
56,152,101,1
33,105,254,1
51,240,41,1
96,143,71,1
209,155,151,1
177,107,173,1
142,29,69,1
64,76,231,1
96,166,82,1
98,1,55,0
227,231,47,1
33,245,63,1
166,88,227,1
224,184,28,1
88,152,131,1
77,70,44,0
241,53,188,1
155,244,15,1
213,205,25,1
56,150,48,1
235,72,143,1
49,163,130,1
79,178,168,1
110,37,144,1
74,90,86,0
153,180,108,1
18,27,33,0
125,156,160,1
52,71,11,0
148,86,209,1
158,27,141,1
135,73,16,1
115,206,196,1
7,60,238,1
6,52,240,1
122,185,191,1
15,137,12,1
63,181,119,1
251,5,188,1
201,97,79,1
13,69,242,1
8,126,56,0
16,212,245,1
44,217,177,1
219,143,76,1
240,0,202,1
236,11,120,1
141,147,111,1
219,193,66,1
177,255,212,1
175,141,134,1
210,124,197,1
108,221,54,1
243,56,155,1
152,10,66,1
144,106,179,1
115,230,172,1
224,81,25,1
56,196,67,1
53,64,185,1
72,40,46,0
176,87,202,1
211,240,26,1
199,116,79,1
98,210,194,1
181,200,140,1
55,210,147,1
233,127,88,1
140,118,133,1
218,26,179,1
56,182,210,1
67,217,131,1
70,102,169,1
56,61,66,0
125,154,220,1
0,38,221,1
52,195,226,1
199,229,255,1
142,218,117,1
29,37,80,0
46,104,35,0
164,228,138,1
85,246,17,1
221,197,46,1
213,163,251,1
10,106,45,0
36,103,42,0
255,245,16,1
41,51,101,0
246,193,159,1
176,130,93,1
198,59,162,1
223,235,89,1
156,241,140,1
157,44,225,1
175,176,142,1
182,218,0,1
11,30,163,1
94,102,254,1
103,18,163,1
139,136,113,1
178,83,150,1
0,2,1,0
182,55,191,1
156,226,201,1
56,207,229,1
169,48,75,1
217,142,65,1
184,188,56,1
84,96,157,1
181,57,204,1
220,148,52,1
31,8,96,0
231,241,135,1
212,144,239,1
109,155,3,1
158,0,153,1
17,242,124,1
172,78,190,1
145,200,84,1
222,92,2,1
162,240,78,1
38,204,172,1
231,251,107,1
94,148,57,1
156,255,223,1
177,154,26,1
169,219,108,1
18,121,159,1
182,93,156,1
160,166,25,1
164,3,40,1
181,97,225,1
208,14,164,1
96,100,43,0
76,52,187,1
63,211,19,1
199,218,225,1
69,23,240,1
81,228,32,1
142,75,119,1
51,170,49,1
251,19,42,1
69,129,140,1
100,162,82,1
240,161,223,1
85,171,89,1
201,145,177,1
56,85,132,1
169,183,85,1
225,86,70,1
244,91,52,1
34,37,189,1
31,125,196,1
66,248,126,1
38,135,217,1
121,113,142,1
199,136,158,1
64,206,78,1
128,176,157,1
241,188,12,1
55,69,73,0
87,17,32,0
173,44,91,1
22,185,7,1
113,65,130,1
88,75,42,0
39,130,7,1
41,140,126,1
74,234,44,1
56,228,28,1
7,110,192,1
174,82,50,1
245,86,21,1
210,55,42,1
203,231,205,1
88,250,30,1
224,2,100,1
238,158,6,1
231,153,232,1
133,27,80,1
238,33,64,1
210,188,94,1
111,130,55,1
239,245,36,1
181,151,198,1
71,70,128,1
78,33,213,1
188,130,252,1
244,85,208,1
2,228,105,1
14,242,160,1
243,47,100,1
242,214,193,1
27,62,174,1
74,57,98,0
217,89,157,1
68,61,220,1
249,37,160,1
18,44,162,1
160,114,52,1
100,55,38,0
219,200,101,1
45,170,243,1
222,172,87,1
240,55,1,1
165,151,6,1
141,99,124,1
91,84,78,0
128,126,248,1
62,50,132,1
154,189,27,1
22,246,111,1
242,101,153,1
165,85,66,1
62,169,214,1
130,193,170,1
157,38,210,1
25,232,210,1
56,40,154,1
201,105,226,1
222,82,188,1
169,96,112,1
251,150,122,1
99,27,0,0
67,122,33,0
218,126,151,1
164,213,190,1
175,101,232,1
231,105,242,1
240,191,84,1
132,18,198,1
94,122,140,1
21,236,61,1
